cluster_id,category,subcategory,size,keywords
0,astro-ph,astro-ph.CO,19,"galaxies, galaxy, formation, mass, evolution"
1,astro-ph,astro-ph.CO,29,"dark, energy, dark energy, neutrino, cosmological"
2,astro-ph,astro-ph.EP,29,"dust, polarization, data, solar, comets"
3,astro-ph,astro-ph.EP,12,"planets, planet, eclipse, secondary, secondary eclipse"
4,astro-ph,astro-ph.GA,31,"galaxies, magnetic, field, stars, mass"
5,astro-ph,astro-ph.GA,12,"emission, ionized, diffuse, halpha, cloud"
6,astro-ph,astro-ph.HE,16,"xray, radio, emission, optical, spectra"
7,astro-ph,astro-ph.HE,25,"gammaray, grbs, emission, grb, tev"
8,astro-ph,astro-ph.IM,33,"data, astronomy, images, new, background"
9,astro-ph,astro-ph.IM,10,"polarization, mission, solar, astronomical, excellent"
10,astro-ph,astro-ph.SR,13,"coronal, loops, outflow, region, model"
11,astro-ph,astro-ph.SR,32,"stars, magnetic, data, cluster, field"
12,cond-mat,cond-mat.dis-nn,12,"replica, random, replica symmetry, transition, phase"
13,cond-mat,cond-mat.dis-nn,33,"model, study, field, aging, spin"
14,cond-mat,cond-mat.mes-hall,7,"formula, conductance, solution, wire, double"
15,cond-mat,cond-mat.mes-hall,7,"rings, persistent currents, persistent, currents, time"
16,cond-mat,cond-mat.mes-hall,9,"conductance, transition, quantum, hall, quantum hall"
17,cond-mat,cond-mat.mes-hall,6,"quantum hall, hall, states, fractional, state"
18,cond-mat,cond-mat.mes-hall,6,"wave, calculated, wavepacket, persistent current, generalized"
19,cond-mat,cond-mat.mes-hall,7,"states, energy, density states, density, landau"
20,cond-mat,cond-mat.mtrl-sci,29,"calculations, method, energy, ev, theory"
21,cond-mat,cond-mat.mtrl-sci,10,"model, crack, simulations, velocity, material"
22,cond-mat,cond-mat.other,33,"atoms, resonance, condensate, spin, model"
23,cond-mat,cond-mat.quant-gas,25,"trap, interaction, condensates, atoms, optical"
24,cond-mat,cond-mat.quant-gas,10,"phase, transition, superfluid, disorder, phase transition"
25,cond-mat,cond-mat.soft,45,"phase, model, surface, critical, results"
26,cond-mat,cond-mat.stat-mech,11,"models, matrix, interaction, states, ground"
27,cond-mat,cond-mat.stat-mech,24,"phase, transition, model, reaction, critical"
28,cond-mat,cond-mat.stat-mech,14,"surface, critical, anisotropic, dimensions, scale"
29,cond-mat,cond-mat.str-el,12,"correlations, transition, theory, ladders, effective"
30,cond-mat,cond-mat.str-el,10,"fermi surface, surface, fermi, coupling, states"
31,cond-mat,cond-mat.supr-con,19,"flux, vortex, states, shown, interaction"
32,cs,cs.AI,17,"search, data, algorithm, decision, function"
33,cs,cs.AI,23,"learning, information, programs, theory, models"
34,cs,cs.AR,19,"reversible, gate, proposed, circuits, power"
35,cs,cs.AR,21,"memory, data, applications, hardware, reconfigurable"
36,cs,cs.CC,12,"problem, problems, instances, solvable, winner"
37,cs,cs.CC,35,"hierarchy, sets, order, set, language"
38,cs,cs.CE,13,"agent, exchange, server, present, numerical"
39,cs,cs.CE,24,"model, market, data, prices, results"
40,cs,cs.CG,18,"computational, mesh, geometry, problems, results"
41,cs,cs.CG,26,"algorithm, log, points, present, paper"
42,cs,cs.CL,22,"data, annotation, corpus, tagger, lexical"
43,cs,cs.CL,16,"grammar, processing, language, rules, speech"
44,cs,cs.CR,15,"analysis, algorithm, network, protocol, systems"
45,cs,cs.CR,25,"cipher, group, groups, scheme, homomorphic"
46,cs,cs.CV,30,"image, method, images, algorithm, based"
47,cs,cs.CY,46,"internet, paper, regulatory, use, policy"
48,cs,cs.DB,22,"data, database, management, model, information"
49,cs,cs.DB,24,"query, queries, xml, language, database"
50,cs,cs.DC,27,"algorithm, parallel, control, number, registers"
51,cs,cs.DC,18,"grid, resources, resource, scheduling, data"
52,cs,cs.DL,17,"digital, library, digital library, nsdl, information"
53,cs,cs.DL,31,"data, documents, information, eprint, paper"
54,cs,cs.DM,41,"graphs, graph, paper, authors, problem"
55,cs,cs.DS,16,"structure, analysis, smoothed, input, data structure"
56,cs,cs.DS,25,"problem, problems, algorithms, algorithm, set"
57,cs,cs.ET,35,"data, logic, dna, reversible, technology"
58,cs,cs.FL,15,"systems, grammars, language, generated, consider"
59,cs,cs.FL,13,"automata, languages, pushdown, conjecture, proof"
60,cs,cs.FL,18,"regular, automata, algorithm, languages, state"
61,econ,econ.EM,11,"effects, treatment, treatment effects, average, unobserved"
62,econ,econ.EM,29,"data, economic, distribution, pricing, based"
63,econ,econ.GN,10,"world, culture, article, current, cultural"
64,econ,econ.GN,29,"model, group, new, economic, complexity"
65,econ,econ.TH,10,"cost, energy, point, information, costs"
66,econ,econ.TH,30,"agents, beliefs, model, results, agent"
67,gr-qc,gr-qc,12,"theory, equivalence, identical, gravity, gauge"
68,gr-qc,gr-qc,22,"field, quantum, mass, hole, black hole"
69,hep-ex,hep-ex,14,"asymmetry, scattering, polarization, polarized, various"
70,hep-ex,hep-ex,22,"quark, cross, production, jets, presented"
71,hep-ex,hep-ex,10,"pm, pi, charged, neutral, ratio"
72,hep-lat,hep-lat,24,"algorithm, critical, ising, monte carlo, carlo"
73,hep-lat,hep-lat,24,"lattice, quark, mass, fermions, chiral"
74,hep-ph,hep-ph,6,"loop, theory, calculation, field, use"
75,hep-ph,hep-ph,21,"models, model, new, higgs, electroweak"
76,hep-th,hep-th,13,"field, formalism, fermions, conformal, field theory"
77,hep-th,hep-th,22,"quantum, theory, model, states, space"
78,math,math.AC,11,"ideals, minimal, ideal, free, resolution"
79,math,math.AC,38,"ring, local, graded, rings, study"
80,math,math.AG,32,"bundles, cohomology, given, manifold, vector bundles"
81,math,math.AP,7,"differential, operators, differential operators, partial differential, partial"
82,math,math.AP,43,"equations, equation, solutions, solution, method"
83,math,math.AT,16,"homotopy, groups, homotopy groups, cohomology, compute"
84,math,math.AT,27,"space, category, spaces, symmetric, model"
