paper1,paper2,is_citation,gcd_level
http://arxiv.org/abs/cs/9505101v1,http://arxiv.org/abs/cs/9308101v1,1,2
http://arxiv.org/abs/cs/9505102v1,http://arxiv.org/abs/cs/9308102v1,1,3
http://arxiv.org/abs/cs/9505105v1,http://arxiv.org/abs/cs/9505104v1,1,3
http://arxiv.org/abs/cs/9505104v1,http://arxiv.org/abs/cs/9505105v1,1,3
http://arxiv.org/abs/cs/9506102v1,http://arxiv.org/abs/cs/9311101v1,1,3
http://arxiv.org/abs/cs/9506102v1,http://arxiv.org/abs/cs/9402101v1,1,2
http://arxiv.org/abs/cs/9512101v1,http://arxiv.org/abs/cs/9403101v1,1,2
http://arxiv.org/abs/cs/9512103v1,http://arxiv.org/abs/cs/9505104v1,1,2
http://arxiv.org/abs/cs/9512103v1,http://arxiv.org/abs/cs/9505105v1,1,2
http://arxiv.org/abs/cs/0111029v1,http://arxiv.org/abs/cs/0111030v1,1,2
http://arxiv.org/abs/cs/0407032v1,http://arxiv.org/abs/cs/0405015v1,1,3
http://arxiv.org/abs/cs/0508038v1,http://arxiv.org/abs/cs/0412040v1,1,2
http://arxiv.org/abs/cs/0603092v1,http://arxiv.org/abs/cs/0603091v1,1,3
http://arxiv.org/abs/cs/0609023v1,http://arxiv.org/abs/cs/0603091v1,1,3
http://arxiv.org/abs/cs/0610090v1,http://arxiv.org/abs/cs/0609023v1,1,3
http://arxiv.org/abs/cs/9808002v1,http://arxiv.org/abs/cs/9910007v1,1,2
http://arxiv.org/abs/cs/9808002v1,http://arxiv.org/abs/cs/9910004v1,1,2
http://arxiv.org/abs/cs/9808002v1,http://arxiv.org/abs/cs/9909020v1,1,2
http://arxiv.org/abs/cs/9808002v1,http://arxiv.org/abs/cs/9910008v2,1,2
http://arxiv.org/abs/cs/9808002v1,http://arxiv.org/abs/cs/9910002v1,1,2
http://arxiv.org/abs/cs/9809001v1,http://arxiv.org/abs/cs/9907035v1,1,3
http://arxiv.org/abs/cs/9809002v1,http://arxiv.org/abs/cs/9910007v1,1,2
http://arxiv.org/abs/cs/9809002v1,http://arxiv.org/abs/cs/9907035v1,1,3
http://arxiv.org/abs/cs/9809002v1,http://arxiv.org/abs/cs/9907033v1,1,2
http://arxiv.org/abs/cs/9809002v1,http://arxiv.org/abs/cs/9907037v1,1,2
http://arxiv.org/abs/cs/9906028v1,http://arxiv.org/abs/cs/9909020v1,1,2
http://arxiv.org/abs/cs/9906028v1,http://arxiv.org/abs/cs/9907039v1,1,3
http://arxiv.org/abs/cs/9907037v1,http://arxiv.org/abs/cs/9907034v1,1,3
http://arxiv.org/abs/cs/9907036v1,http://arxiv.org/abs/cs/9907039v1,1,2
http://arxiv.org/abs/cs/9907038v1,http://arxiv.org/abs/cs/9910006v1,1,3
http://arxiv.org/abs/cs/9907039v1,http://arxiv.org/abs/cs/9907036v1,1,2
http://arxiv.org/abs/math/0405414v2,http://arxiv.org/abs/math/9502213v1,0,3
http://arxiv.org/abs/physics/0502005v1,http://arxiv.org/abs/physics/0110063v1,0,1
http://arxiv.org/abs/cs/0411077v1,http://arxiv.org/abs/cond-mat/9610062v1,0,0
http://arxiv.org/abs/cs/0004012v1,http://arxiv.org/abs/cond-mat/9605124v2,0,3
http://arxiv.org/abs/q-bio/0404034v1,http://arxiv.org/abs/cs/9809109v1,0,0
http://arxiv.org/abs/math/0406433v1,http://arxiv.org/abs/0712.1111v1,0,1
http://arxiv.org/abs/cs/0412046v1,http://arxiv.org/abs/0901.3875v1,0,0
http://arxiv.org/abs/math/0109034v2,http://arxiv.org/abs/math/9803087v1,0,1
http://arxiv.org/abs/physics/0204064v1,http://arxiv.org/abs/1810.02622v1,0,0
http://arxiv.org/abs/1510.05854v2,http://arxiv.org/abs/cs/0206040v2,0,0
http://arxiv.org/abs/cs/0512051v1,http://arxiv.org/abs/math/9209205v1,0,0
http://arxiv.org/abs/1305.6995v1,http://arxiv.org/abs/cs/0111061v2,0,0
http://arxiv.org/abs/math/0003122v3,http://arxiv.org/abs/cond-mat/9610154v1,0,0
http://arxiv.org/abs/0908.0949v2,http://arxiv.org/abs/physics/0011063v1,0,0
http://arxiv.org/abs/1803.08218v1,http://arxiv.org/abs/math/0306394v1,0,0
http://arxiv.org/abs/cs/0501083v1,http://arxiv.org/abs/hep-ph/9203214v1,0,3
http://arxiv.org/abs/math/9405218v1,http://arxiv.org/abs/1503.08961v1,0,3
http://arxiv.org/abs/math/9905186v1,http://arxiv.org/abs/quant-ph/9412008v1,0,3
http://arxiv.org/abs/math/9505201v1,http://arxiv.org/abs/math/9409222v1,0,1
http://arxiv.org/abs/1807.09660v1,http://arxiv.org/abs/math/9904188v1,0,0
http://arxiv.org/abs/cs/9811016v1,http://arxiv.org/abs/math/9705214v1,0,0
http://arxiv.org/abs/quant-ph/9412001v1,http://arxiv.org/abs/math/9903200v1,0,0
http://arxiv.org/abs/gr-qc/9210015v2,http://arxiv.org/abs/1506.07854v1,0,3
http://arxiv.org/abs/cs/9910004v1,http://arxiv.org/abs/hep-ph/9203213v1,0,0
http://arxiv.org/abs/math/9403204v1,http://arxiv.org/abs/math/0211078v7,0,1
http://arxiv.org/abs/1006.5044v1,http://arxiv.org/abs/math/9510207v1,0,0
http://arxiv.org/abs/1810.04819v1,http://arxiv.org/abs/cs/0302031v1,0,0
http://arxiv.org/abs/0711.2434v1,http://arxiv.org/abs/physics/9905029v1,0,0
http://arxiv.org/abs/math/9801002v2,http://arxiv.org/abs/math/0010311v1,0,3
http://arxiv.org/abs/q-bio/0512023v1,http://arxiv.org/abs/1411.6250v10,0,0
http://arxiv.org/abs/0901.0712v1,http://arxiv.org/abs/gr-qc/9211024v1,0,0
http://arxiv.org/abs/0901.0427v2,http://arxiv.org/abs/physics/9810004v1,0,0
http://arxiv.org/abs/math/9201291v1,http://arxiv.org/abs/math/9801103v1,0,1
http://arxiv.org/abs/0901.0884v1,http://arxiv.org/abs/hep-lat/9205023v1,0,0
http://arxiv.org/abs/gr-qc/9210017v1,http://arxiv.org/abs/cs/0401030v1,0,3
http://arxiv.org/abs/math/9809190v1,http://arxiv.org/abs/math/9806061v1,0,1
http://arxiv.org/abs/1310.0762v2,http://arxiv.org/abs/cs/9909015v1,0,3
http://arxiv.org/abs/hep-th/9108028v1,http://arxiv.org/abs/math/9801049v4,0,0
http://arxiv.org/abs/1010.6050v1,http://arxiv.org/abs/1810.02109v1,0,0
